ItemID,ebay_id,instock_qty,warehouse_qty,ebay_team_qty,newitemreceiveddate,last_upload_date,ebay_status,last_markedforebay
1SKB3U1,,1,0,0,11/30/2021,,,
3i2217M124uU1,,1,0,1,11/17/2022,,,
3i471920U1,,1,0,1,10/11/2022,,,
3i4719TKBDU1,,1,1,0,9/27/2022,,,
4BarLTQuadBTU2,,1,1,0,11/16/2022,,,
8000-400U2,,1,0,1,11/2/2022,,,
ACS1AmpU1,,1,0,0,11/25/2022,,,
ADJ2-44U2,,1,0,1,11/1/2022,,,
BFB12U2,,1,1,0,11/15/2022,,,
C5GTBSCBU1,,1,1,0,10/11/2022,,,
CAJ-DRUMSET-3U2,,1,0,1,11/11/2022,,,
Classic7U1,,1,0,0,11/25/2022,,,
CT1-J484-EMGU1,,1,0,1,11/16/2022,,,
DGX670BKU1,,1,0,1,11/17/2022,,,
DJCB3BgU1,,1,1,0,11/23/2022,,,
ELX200-10U1,,1,1,0,9/27/2022,,,
EON208PU1,,1,1,0,11/11/2022,,,
ETX35PU5,56747,1,0,0,11/16/2022,,Shipped,7/12/2018
F701WHU1,,1,0,1,11/14/2022,,,
G5260TEJBMSU1,,1,1,0,10/11/2022,,,
GCDreadU2,,1,0,1,11/23/2022,,,
GTOURSpk2K12U1,,1,1,0,9/21/2022,,,
HelixU2,,1,1,0,11/16/2022,,,
JunoDS88U5,,1,0,1,10/28/2022,,,
JVM410HU1,46718,1,1,0,11/18/2022,,Shipped,7/28/2017
KromeEX61U1,,1,0,1,11/9/2022,,,
L1Pro8U1,,1,0,1,11/21/2022,,,
L212U1,,1,1,0,11/23/2022,,,
LH31000FMBTBU1,,1,1,0,10/4/2022,,,
LizChoirU3,,1,0,1,8/30/2022,,,
LizProATTanU1,,1,0,0,11/25/2022,,,
Mark535CU12,,1,1,0,11/10/2022,,,
MegaBarRGBAU2,,1,1,0,11/17/2022,,,
Model16U3,,1,0,1,11/22/2022,,,
MPCOneU1,,1,0,0,9/26/2022,,,
ParZ120RGBWU1,,4,3,1,11/21/2022,,,
PDNYBOINCU2,,1,0,0,11/22/2022,,,
PK112AU1,,1,0,1,11/18/2022,,,
PN210HLFU3,,1,0,1,11/14/2022,,,
PPK1SSTU1,,1,0,0,10/4/2022,,,
PSCTTMU1,,1,1,0,11/23/2022,,,
PST3Ride20U1,,1,1,0,11/23/2022,,,
RDL4000U1,,1,1,0,11/23/2022,,,
RelayG10TIIU2,,1,1,0,11/23/2022,,,
RP-S32-MainPCBU1,,1,0,0,10/26/2022,,,
RP-XR18-ADC-PCU1,,1,0,0,11/18/2022,,,
S3CSU1,,1,1,0,11/7/2022,,,
SHPSUU2,,1,1,0,11/22/2022,,,
SigRefHFCr20U1,,1,1,0,11/22/2022,,,
SP218v2U1,,1,0,1,10/28/2022,,,
SPETRTSACSEU1,,1,0,0,11/25/2022,,,
